publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Acupuncture in medicine	0964-5284	1759-9873	1983	1	1	2013			http://aim.bmj.com/content/by/year		aim		fulltext		BMJ	serial								P
Annals of the rheumatic diseases	0003-4967	1468-2060	1939	1	1	2013			http://ard.bmj.com/content/by/year		ard		fulltext		BMJ	serial								P
Archives of disease in childhood	0003-9888	1468-2044	1926	1	1	2013			http://adc.bmj.com/content/by/year		adc		fulltext		BMJ	serial								P
Archives of disease in childhood. Education and practice edition	1743-0585	1743-0593	2004	89	1	2013			http://ep.bmj.com/content/by/year		ep		fulltext		BMJ	serial								P
Archives of disease in childhood. Fetal and neonatal edition	1359-2998	1468-2052	1988	70	1	2013			http://fn.bmj.com/content/by/year		fn		fulltext		BMJ	serial								P
Archives of emergency medicine	0264-4924		1984	1	1	1993	10	4	http://emj.bmj.com/content/by/year		emj		fulltext		BMJ	serial								P
Association medical journal	2041-9996		1853	1	1	1856	4	205	http://www.ncbi.nlm.nih.gov/pmc/journals/3/#assomedj		assomedj		fulltext		BMJ	serial								P
BMJ (BMJ.com)		1756-1833	2007	297	6640	2013			http://www.bmj.com/archive		bmj		fulltext		BMJ	serial								P
BMJ (Clinical research ed.)	0959-8138	1468-5833	1988			2013			http://www.bmj.com/archive		bmj		fulltext		BMJ	serial								P
BMJ case reports		1757-790X	2008			2013			http://casereports.bmj.com/content/by/year		casereports		fulltext		BMJ	serial								P
BMJ quality & safety (Print)	2044-5415	2044-5423	2011	20	1	2014			http://qualitysafety.bmj.com/content/by/year		qualitysafety		fulltext		BMJ	serial								P
BMJ supportive & palliative care	2045-435X	2045-4368	2011			2013			http://spcare.bmj.com/content/by/year		spcare		fulltext		BMJ	serial								P
