"Identifier"	"English Label"	"French label"
"Admin"	"Admin"	"Admin"
"Sign in"	"Sign in"	"Connexion"
"parsing"	"Imported"	"Importé"
"parsing_summary_lines"	"%{smart_count} line loaded |||| %{smart_count} lines loaded"	"%{smart_count} ligne chargée |||| %{smart_count} lignes chargées"
"parsing_summary_columns"	"%{smart_count} column loaded |||| %{smart_count} columns loaded"	"%{smart_count} colonne chargée |||| %{smart_count} colonnes chargées"
"parsing_enriched_columns"	"%{smart_count} column enriched |||| %{smart_count} columns enriched"	"%{smart_count} colonne enrichie |||| %{smart_count} colonnes enrichies"
"publication_summary_fields"	"%{smart_count} field added |||| %{smart_count} fields added"	"%{smart_count} champ ajouté |||| %{smart_count} champs ajoutés"
"total lines"	"total lines"	"nombre total des lignes"
"successfully parsed"	"successfully parsed"	"analyse réussie"
"with errors"	"with errors"	"avec erreurs"
"Cancel"	"Cancel"	"Annuler"
"Accept"	"Accept"	"Accepter"
"Username"	"Username"	"Nom d'utilisateur"
"Password"	"Password"	"Mot de passe"
"line"	"line"	"ligne"
"formatCode"	"Text - Code"	"Texte - Code"
"formatCodeDescription"	"Syntactically color the value of the field following the syntax of the language given in parameter (among XML, JSON, INI, Shell, SQL, Javascript)."	"Colore syntaxiquement la valeur du champ en suivant la syntaxe du langage donné en paramètre (parmi XML, JSON, INI, Shell, SQL, Javascript)."
"error"	"error"	"erreur"
"atom"	"atom"	"atom"
"publish"	"Publish"	"Publier"
"here"	"Try another way (http)"	"Essayez un autre moyen (http)"
"publication"	"Publication"	"Publication"
"publication_explanations"	"Publishing will make your transformed data fully public. Once published, you will not be able to modify this."	"Publier rendra vos données transformées acccessible à tous. Une fois publiées, vous ne pourrez plus modifier ceci."
"published"	"Your data has been published online. You can further configure its display and/or update it by using the public interface."	"Vos données ont été publiées en ligne. Vous pouvez configurer davantage l'affichage de ces dernières ou les mettre à jour en utilisant l'interface publique"
"showing"	"Showing {from} to {to} of {total}"	"Affichage {from} à {to} sur {total}"
"page"	"Page"	"Page"
"poids"	"weight"	"poids"
"perPage"	"per page"	"par page"
"loading"	"Loading..."	"Chargement..."
"loading_parsing_results"	"Loading parsing results"	"Chargement des résultats de l'analyse"
"loading_redirecting"	"Loading in progress..."	"Chargement en cours..."
"publication_preview"	"Preview"	"Aperçu"
"click_to_edit_publication_field"	"Click on this icon to edit the field"	"Cliquer sur l'icône pour modifier le champ"
"add_transformer"	"Add an operation"	"Ajouter une opération"
"edit_transformer"	"Edit an operation"	"Modifier une opération"
"add_class"	"Add a semantic class"	"Ajouter une classe sémantique"
"enter_class"	"Enter your semantic class"	"Entrer votre classe sémantique"
"class"	"Semantic class"	"Classe sémantique"
"remove_class"	"Remove semantic class"	"Retirer la classe sémantique"
"annotate_class"	"Add new semantic class"	"Ajouter une nouvelle classe sémantique"
"remove_transformer"	"Remove this operation"	"Supprimer cette opération"
"fieldLabel"	"Label"	"Étiquette"
"fieldName"	"Name"	"Nom"
"fieldValue"	"Value"	"Valeur"
"fieldScheme"	"Scheme"	"Schéma"
"select_an_operation"	"Select an operation"	"Choisir une opération"
"scope"	"Coverage"	"Couverture"
"scope_dataset"	"Apply to whole dataset"	"Appliquer à tout le jeu de données"
"scope_collection"	"Different for each resource"	"Différente pour chaque ressource"
"scope_document"	"Only present on certain resource"	"Présente uniquement sur certaines ressources"
"scope_graphic"	"Graphic present for whole dataset"	"Graphique présent pour tout le jeu de données"
"dataset_characteristics"	"Characteristics"	"Caractéristiques"
"danger_zone"	"Danger zone"	"Zone de danger"
"clear"	"Clear"	"Effacer"
"clear_publish"	"Unpublish"	"Dépublier"
"clear_dataset"	"Clear database"	"Effacer la base de données"
"clear_jobs"	"Clear jobs"	"Effacer les tâches de fond"
"clear_model"	"Clear model"	"Effacer le modèle"
"sign_out"	"Sign out"	"Déconnexion"
"back_to_list"	"Back to list"	"Retourner à la liste"
"not_found"	"Resource not found"	"Ressource non trouvée"
"powered"	"Powered by"	"Propulsé par"
"loading_resource"	"Resource loading..."	"Ressource en cours de chargement..."
"error_field_required"	"This field is required"	"Ce champ est obligatoire"
"error_overview_field_required"	"This field is required because it is used for syndication"	"Ce champ est obligatoire parce qu'il est utilisé pour la syndication"
"error_label_required"	"Label is required"	"L'étiquette est requise"
"error_scope_required"	"Coverage is required"	"La couverture est requise"
"error_transformers_required"	"Transformation operation is required"	"Une opération de transformation est requise"
"error_scheme_invalid"	"The scheme must be an url"	"Le schéma doit être un url"
"error_position_invalid"	"This position is invalid (must be greater than zero)"	"La position n'est pas valide (elle doit être supérieure à zéro)"
"error_position_required"	"The position is required"	"La position est requise"
"error_position_uri_must_come_first"	"The URI field must come first"	"Le champ URI doit être en premier"
"error_transformers_contributions_no_transformers"	"An operation cannot be added to a contribution"	"Une opération ne peut pas être ajoutée à une contribution"
"error_composedOf_contribution_no_composed_of"	"A contribution cannot have a composedOf attribute"	"Une contribution ne peut comporter un attribut de champ composé"
"error_composedOf.separator_required"	"A ComposedOf separator is required"	"Un séparateur de champ composé est requis"
