"Identifier"	"English Label"	"French label"
"Admin"	"Admin"	"Admin"
"Sign in"	"Sign in"	"Se connecter"
"parsing"	"Imported"	"Importé"
"parsing_summary"	"%{count} resources loaded"	"%{count} ressources chargées"
"parsing_summary_columns"	"%{count} columns loaded"	"%{count} colonnes chargées"
"publication_summary_columns"	"%{count} columns added"	"%{count} colonnes ajoutées"
"total lines"	"total lines"	"nombre total des lignes"
"successfully parsed"	"successfully parsed"	"analyse réussie"
"with errors"	"with errors"	"avec erreurs"
"upload_another_file"	"Upload a dataset"	"Importer un jeu de donnée"
"upload_additional_file"	"Upload More"	"Ajouter des données"
"Cancel"	"Cancel"	"Annuler"
"Username"	"Username"	"Nom d'utilisateur"
"Password"	"Password"	"Mot de passe"
"line"	"line"	"ligne"
"code"	"Text - Code"	"Texte - Code"
"error"	"error"	"erreur"
"atom"	"atom"	"atom"
"publish"	"Publish"	"Publier"
"publication"	"Publication"	"Publication"
"publication_explanations"	"Publishing will make your transformed data fully public. Once published, you will not be able to modify this."	"Publier rendra vos données transformées acccessible à tous. Une fois publiées, vous ne pourrez plus modifier ceci."
"published"	"Your data has been published online. You can further configure its display and/or update it by using the public interface."	"Vos données ont été publiées en ligne. Vous pouvez configurer davantage l'affichage de ces dernières ou les mettre à  jour en utilisant l'interface publique"
"showing"	"Showing {from} to {to} of {total}"	"Affichage {from} à {to} sur {total}"
"page"	"Page"	"Page"
"perPage"	"per page"	"par page"
"loading"	"Loading..."	"Chargement..."
"loading_parsing_results"	"Loading parsing results"	"Chargement des résultats de l'analyse"
"publication_preview"	"Preview"	"Aperçu"
"click_to_edit_publication_field"	"Click on this icon to edit the field"	"Cliquer sur l'icône pour modifier le champ"
"add_transformer"	"Add an operation"	"Ajouter une opération"
"add_class"	"Add a semantic class"	"Ajouter une classe sémantique"
"enter_class"	"Enter your semantic class"	"Entrer votre classe sémantique"
"class"	"semantic class"	"classe sémantique"
"remove_class"	"remove semantic class"	"retirer la classe sémantique"
"annotate_class"	"Add new semantic class"	"Ajouter une nouvelle classe sémantique"
"remove_transformer"	"Remove this operation"	"Supprimer cette opération"
"fieldLabel"	"Label"	"Étiquette"
"fieldName"	"Name"	"Nom"
"fieldValue"	"Value"	"Valeur"
"fieldScheme"	"Scheme"	"Schéma"
"select_an_operation"	"Select an operation"	"Choisir une opération"
"cover"	"Coverage"	"Couverture"
"select_cover"	"Select a coverage"	"Choisir une couverture"
"cover_dataset"	"Apply to whole dataset"	"Appliquer à tout le jeu de données"
"cover_collection"	"Different for each resource"	"Différente pour chaque ressource"
"cover_document"	"Only present on certain resource"	"Présente uniquement sur certaines ressources"
"dataset_characteristics"	"Characteristics"	"Caractéristiques"
